,docs,target,TR,GF
96,gregg sorry have point practice thing be not wonderful utopia folk claim upset exactly childish open question bbci example islamically own operate bank bet be not real islamic owner operator actually turn longrunning ruthless operation steal money small naive depositor naive depositor life savings bcci nasty interestmotivated western bank street believe islamically own operate bank could nt possibly cheat do not try con thinking work right time,0,"['bank', 'operate', 'practice', 'depositor', 'thing', 'utopia', 'con', 'folk', 'point', 'operation', 'claim', 'operator', 'owner', 'question', 'street', 'bbci', 'bcci', 'bet', 'thinking', 'example']","['bank', 'depositor', 'naive', 'operate', 'islamically']"
97,deletion yes sorry get wrong apology deletion fun meet minority give god refer action god god cause well effect rob intimate jewish theology understand messianic jew correct wrong appear view messianic jews metaphysics different majority jews jewish theology overall distinct christianic god view hear possible jews attribute evil god nono christians bible see effect interaction god man deletion context metaphysics process adapt commandment transcendent justification process lie metaphysic specualtion wonder break shackle have metaphysics system deletion book command commit genocide reprehensible deed context repulsive foul play imo invoke relatively enlightened passage example content book big deletion interpretation law interpretation bible example sodom gomorrha mean argue god idea metaphorically allow argue god mean theo logic question proof theology important question light instance passage witrh sodom gomorrha mean connection text fact exist interpretation purely arbitrary question carry burden biblical text simply write book convey message well answer can not becuase peculiar biblical information lose hold true book question remain bible special place can not replace bargain dangerous content bible message include deletion sorry bad system well system deletion read story bible god command people kill child idolater god kill child directly important resolve message child kill god argument give fallacy important context give find god corporeal crucial question religious believer resolve contradiction choose possibility give arbitrary way advantage able attribute decision god,0,"['god', 'question', 'deletion', 'book', 'context', 'metaphysics', 'message', 'theology', 'interpretation', 'child', 'jews', 'passage', 'text', 'system', 'mean', 'command', 'gomorrha', 'sodom', 'process', 'example']","['god', 'kill', 'child', 'question', 'jews', 'mean', 'interpretation', 'message', 'important', 'system', 'messianic', 'process', 'argue', 'wrong', 'text', 'biblical', 'jewish', 'view', 'example', 'resolve']"
98,diamond speedstar board want program bit graphic possibly bit color anybody library support mode board some simple routine set graphic mode plot individual pixel great help plan use routine djgp thank advance respond email,1,"['mode', 'program', 'djgp', 'bit', 'plan', 'help', 'board', 'advance', 'color', 'library', 'pixel', 'plot', 'speedstar', 'respond', 'diamond', 'email']","['bit', 'routine', 'mode', 'board', 'graphic']"
99,look graphicscadorwhatever package xunix box file record like count integer entity string entity string type string produce networked graph node represent box circle vertex represent line width line determine different line type type vertice box need identify entitys number entity vertex nice tool minimize line crossover good job layout look faq compgraphic gnuplot success idea appreciate thank,1,"['box', 'line', 'entity', 'type', 'string', 'vertex', 'gnuplot', 'faq', 'layout', 'success', 'file', 'job', 'record', 'crossover', 'xunix', 'count', 'idea', 'tool', 'node', 'circle']","['string', 'line', 'entity', 'type', 'represent', 'box', 'look', 'vertex']"
100,look method use turn linux base bbs color graphical bbs support mac linux amiga caller originally inspire naplps graphic standard summary hit group week ago follow software availability naplp support software find terminal program commercial resonable shareware run soley msdos machine leave mac amiga user buy commercial software want try bbs know would not interesting possibility port mgr mac amiga know old version mac port bellcorecom do not work system can not find source patch color version mgr linux know alpha version libs year misplace group know mgr port amiga can not send message mgr channel bounce suggestion linux base gui bbs,1,"['amiga', 'mac', 'linux', 'software', 'port', 'bbs', 'version', 'group', 'color', 'base', 'bounce', 'shareware', 'naplp', 'suggestion', 'program', 'soley', 'msdos', 'availability', 'channel', 'year']","['bbs', 'linux', 'mgr', 'amiga', 'know', 'version', 'port', 'software', 'mac', 'base', 'support', 'commercial', 'group', 'color', 'find']"
101,fray thread turn patent altatheism pingpong game do not strong disagreement ill try stick thing do not follow argument contradiction argue bible enlighten time close consider morally good base standard past experience hand hope summarize argument adequately hand disclaimer speak jewish perspective bible mean old testament interpretation necessarily raw text instead court case commentary tradition pass jewish community crux judge bible accord long line tradition interpretation come current day merit cultural artifact course correspond closely contemporary value that s bible actually today should not judge people use scissor cut paper should not consumer report test scissor papercutte ability scissor design originally cut cloth that s possibly good way judge use bible teach jewish morality today hardly fair claim highlyinterprete version enlighten time attempt extend analogy like say original scissormaker unusually advanced papercutting time cut cloth hear paper argue bible disgusting history depict modern standard history similar abuse do not think biblical account bad contemporariesor possibly hand do not know reason think history describe bible show abuse contemporary complex benign moral tradition evolve base particular mythic interpretation history interesting do not think fair long tradition interpretation use attack condemnation original history,0,"['interpretation', 'tradition', 'history', 'time', 'scissor', 'bible', 'argument', 'today', 'judge', 'cloth', 'base', 'cut', 'paper', 'altatheism', 'pingpong', 'game', 'patent', 'abuse', 'disagreement', 'stick']","['history', 'tradition', 'interpretation', 'bible', 'scissor', 'think', 'use', 'hand', 'cut', 'time', 'judge', 'argument', 'abuse', 'long', 'cloth', 'fair', 'original', 'possibly', 'base', 'paper']"
102,sphinx sphinx userfriendly stateoftheart image processing analysis package run spectrum high performance computer platform operate unix xwindow system create meet daily research need scientist conduct climate investigation satellite datum remote sense technique intuitive graphic interface sphinx feature interactive interface popup menus pointandclick dialog box make image processing analysis simple fast accessible menuing enable build attractive image layout quickly provide flexibility return main menu conduct image analysis processing operation image format compatibility smart readwrite function sphinx allow easily open save image file variety format bit integer real datum value sphinx read write common tiff gif format compress decompress image format save disk space image analysis processing image pixel analysis sphinx package include assortment processing tool perform useful statistical mathematical filter operation fourier transform convolution product principal component analysis interactive interpreter algebraic equation image allow user manipulate combine individual datum channel interactively standard fortran notation formula entry trig onometric transcendental function satellite spectra orbit analysis sphinx possess function simulate satellite signal sensitivity meteorological satellite go meteosat noaa spot etc simulation conduct selection standard atmospheric surface condition instrument spectral band geometry model compute solar zenith angle warp orbit simulation image projection easy external program interfacing sphinx allow user flexibility integrate externally develop software algorithm process convert satellite observation sphinx export import image file image parameter external program special interface function quick quality presentation sphinx rapidly display manipulate enhance highresolution multispectral image color table bit image plane graphic plane package conveniently combine color image graphic text generate sharp digital image article report sphinxs graphic editor provide complete flexibility modifying integrate vector graphic analysis plot image histogram radial graphs package supply color gray scale output standard inkjet laser printer capability sphinx perform image animation external graphic import mosaic fitting software support development sphinx develop laboratoire doptique atmospherique loa universite lille france package receive critical feedback support scientist french national laboratory centre national recherche scientifique cnrs french space agency centre national detude spatiale cne loa sphinx undergoes continue refinement development meet change research need advance computer technology package feature online help support internet address sphinxloasilcitilillefr question answer version update provide delay performance test cne select sphinx analyze process satellite datum collect upcoming adeospolder satellite mission today sphinx package use nasa goddard space flight center widely french laboratory include centre recherche physique lenvironnement ecole normale superieure laboratoire etude recherche teledetection spatiale laboratoire meteorologie dynamique test version sphinx available loasilcitilillefr anonymous bin sphinx allsphinxtarz test version output file disable visualisation graphic function available sufficient work interested keep sphinx send email receive news package evolution,1,"['sphinx', 'image', 'package', 'satellite', 'analysis', 'function', 'datum', 'laboratoire', 'processing', 'flexibility', 'space', 'recherche', 'version', 'centre', 'format', 'file', 'test', 'interface', 'color', 'conduct']","['sphinx', 'package', 'graphic', 'format', 'processing', 'function', 'national', 'test', 'version', 'color', 'french', 'laboratoire', 'support', 'centre', 'recherche', 'file', 'plane', 'available', 'save', 'loa']"
103,otis project operative term stimulate file update otis otis purpose distribute original artwork photograph network public perusal scrutiny distribution digital immortality basic idea digital immortality computer network stay interesting deposit nearforever gifs jpgs today artifact digital future they ll different format survive backup tapesbut they ll thereand dig do not interest otis offer forum critique exhibition worksa virtual art gallery close exist information dimension submission hang wallpaper thousand glow monitor suddenly life breathe workand merit stimulus travel globe pulse light electron spectator welcome feel free browse gallery let artist know think effort copy image look you ve get gumption that s they re otis currently ftp site projectsotis uwi site sunsiteuncedu pubmultimediapicturesotis sunsite gopher site otis merely anonymous ftp site internet change appropriate directory do not forget busy use bin command sure you re binary otis spread dialup bbs systems north americathe follow system substancial supply otistuff underground cafe omaha line cyberden sanfran usenet waffleiron contribute happen isyou draw pretty picture lovely photo scan image file ftpput contribincome directory use uuencode send email address eof email image receive correct directory computer originate work welcome otis directory house type image file gif jpg gif jpg file require oddly gif jpg viewer viewer available type computer large ftp site internet jpg viewer bit tough find can not find gif viewer obtain jpgtogif conversion program change jpg file standard gif format otis accept animation file submit image file send email time state information upload publication project merely people view include biographical information have infofile contribute artist work upload textfile info instead email picture scanner hope merely send copy otis project stastny omaha scan scan include ample sase want stuff include information image preferably line description image include infofile directory finally preference image name include conversely scann like help contact arrange thing want submit work disk peachy merely send disk address omaha sase want disk good people do not direct access encoder ftp access scanner accept disks mac ibm compatible format possible submit image file gif jpg cantwe convert formatswe sender request fill disk otis stand do nt stuff contribute send blank disk sase disk postage packing slabootis megabyte file grow email current archive size directory distribution image distribute otis project distribute freely condition original filename keep alter way save convert image format fact encourage file distribute local bulletin board transport appropriate text file image nice you d send note post image otis local bbs want track participant idea widespread stuff purpose otis image spread possible time upload favorite bbs systemor post infofile keen use want use work find otis directory you ll check permission grant stipulation permission free copy publication address credit find file image series imagesor artist directory artist permission be not explicitly give you ll contact artist ask info available email edcwisunomahaedu ill contact artist contact information use permit work courteous let artist know send free copy compensation file name image name file do format mean filename jpg gif character way usually use initial artist plus digit code series image plus series number leonardo devincis fifth mechanical drawing like ldmekgif ldmekjpg ldmechgif etc keep name character assure filename remain intact system create image file create image file sure include picture give people reference case they d like contact want include title address information you d like people know hmmm that s guideline add need input expect disclaimer otis project connection church otis sumerian deity follower pope priest ezine administrator sacrifice donation disclaimer otis project distribution original image file file public large possible form massmedia unscrupulously use image financial gain you ve give permission illegal otis take responsibility simple term right revert authorartist leave image otis permission view copy distribute electronically do not want image distribute allover do not upload leave image otis give permission publication broadcast incur profit include limited magazine newsletter clipart software screenprinte clothing etc specific permission sort usage remember operative term stimulate know people that d interested sort thingget involvedkickm bootyoffer free foodwhatever edcwisunomahaedu edsunsiteuncedu,1,"['otis', 'image', 'file', 'artist', 'directory', 'permission', 'information', 'people', 'disk', 'email', 'format', 'project', 'jpg', 'gif', 'copy', 'site', 'work', 'address', 'contact', 'picture']","['disk', 'permission', 'viewer', 'site', 'distribute', 'people', 'digital', 'free', 'series', 'create', 'access', 'immortality', 'plus', 'network', 'sort', 'disclaimer', 'leave', 'local', 'post', 'type']"
104,science process model real world base commonly agree interpretation observation perception value refer mean example computer science value true false science base commonly agree value interpretation observation science result reinterpretation value value underlay science objective fully agree change time value newtonian physic certainly different quantum mechanic,0,"['value', 'science', 'interpretation', 'observation', 'base', 'time', 'change', 'objective', 'physic', 'world', 'example', 'refer', 'perception', 'quantum', 'underlay', 'model', 'computer', 'reinterpretation', 'result', 'process']","['value', 'science', 'agree', 'base', 'commonly', 'observation', 'interpretation']"
105,speak author macwireframe early today cost license royalty eric johnson sacramento phone do not email nice guy knowledgeable graphic like decent package object pascal framework supposedly fairly complete set geometry creation class go check get need cad package find package graphic tool micro system option seattle number email package strong ray trace sure geometry creation tool need look package speak author mark owens nice guy know business price royalty,1,"['package', 'guy', 'tool', 'creation', 'royalty', 'author', 'geometry', 'license', 'eric', 'johnson', 'sacramento', 'nice', 'owens', 'mark', 'phone', 'seattle', 'number', 'knowledgeable', 'option', 'system']","['package', 'royalty', 'tool', 'guy', 'need', 'nice', 'author', 'speak', 'creation', 'geometry', 'email', 'graphic']"
106,make customize paint program do need algorithm read bitmap file like gif pcx bmp algorithm I ve try copy book read pcx format do not work algorithm format create windows paint thank toni,1,"['algorithm', 'format', 'paint', 'file', 'bitmap', 'program', 'gif', 'book', 'pcx', 'windows', 'bmp', 'copy', 'toni', 'customize']","['algorithm', 'format', 'paint', 'pcx', 'read']"
107,get univesa driver available net thought finally meg oak board able color unfortunately program say can not fault program fractint wrong card univesa free driver available net make board vesa compatible,1,"['board', 'driver', 'program', 'univesa', 'card', 'oak', 'net', 'meg', 'color', 'wrong', 'fractint', 'thought', 'vesa']","['board', 'net', 'program', 'available', 'driver', 'univesa']"
108,say require faith car drive I ve see drive I ve fact I ve actually drive require faith belief sense accurate representation what s evidence pro con existence nonexistence god sorry remain skeptical do not believe entirely conclusion see evidence god correct lack evidence existence way evidence nonexistence creationist similar mode argumentation disprove evolution establish creation personally see neutrino exist pink unicorn analogy break naive scientific theory explain appearance animal life evolution draw conclusion pink unicorn do not exist have not see conclusion foundation observation theory pink unicorn exist qualitatively similar know entity good evidence life earth evolve primitive ancestor pink unicorn share common anscestory horse zebras god correspondence imo physical frame work observation draw conclusion disagree profoundly have not define god existence fact have not define god get subject think relevant come wrong category misunderstand say make argument offer definition fallacy try convince believe rest faith inappropriate apply category logic realm tell logically prove god evidence use logic disprove claim fine necessary btw incomplete argument fallacy thing wrong do not follow certainly observation thing do not know exist maintain use observation infer god exist positive assertion require leap completely misunderstand evidence god meaningful level maybe response give come naturally people try run private conception god throat argue thing positive assertion principle evidence require leap require faith theist form atheism respect found honesty,0,"['god', 'evidence', 'faith', 'observation', 'conclusion', 'thing', 'life', 'theory', 'existence', 'disprove', 'evolution', 'category', 'leap', 'logic', 'argument', 'fallacy', 'nonexistence', 'form', 'assertion', 'theist']","['evidence', 'god', 'require', 've', 'drive', 'faith', 'exist', 'thing', 'unicorn', 'pink', 'define', 'logic', 'category', 'nonexistence', 'positive', 'leap', 'assertion', 'use', 'fallacy', 'argument']"
109,hello realize faq ask do not change read newsgroup anyways senior project need convert autocad file tiff file do not need tell autocad file vector file tiff bit map hear time like know know point right direction,1,"['file', 'tiff', 'project', 'map', 'bit', 'newsgroup', 'time', 'convert', 'ask', 'vector', 'point', 'faq', 'direction']","['file', 'know', 'tiff', 'autocad', 'need']"
110,get image computer monitor videotape hard look standard vga ega output different ntsc format television equipment conversion hard hand cost bit access amiga computer ntsc output transfer certain type graphic file modem tape ntsc output unfortunately framebyframe lead unbelievably scratchy animation good amiga animation program,1,"['output', 'computer', 'ega', 'vga', 'format', 'tape', 'television', 'animation', 'equipment', 'conversion', 'modem', 'hand', 'bit', 'access', 'cost', 'lead', 'file', 'amiga', 'type', 'videotape']","['animation', 'output', 'ntsc', 'amiga', 'hard', 'computer']"
111,yes that s know bresenham run length slice algorithm incremental line fundamental algorithm computer graphic springerverlag berlin heidelberg hmm do not think help look follow doublestep incremental generation line circle rokne computer graphic image processing vol mar doublestep generation ellipsis rokne ieee computer graphic application,1,"['computer', 'line', 'algorithm', 'rokne', 'generation', 'doublestep', 'graphic', 'springerverlag', 'ellipsis', 'processing', 'circle', 'vol', 'image', 'mar', 'ieee', 'berlin', 'length', 'slice', 'bresenham', 'heidelberg']","['graphic', 'computer', 'algorithm', 'rokne', 'generation', 'doublestep', 'line', 'incremental']"
112,concern propose newsgroup split personally favor learn awful lot aspect graphic reading group code hardware algorithm think make different group wate result post week group kind like convenience have big forum discuss aspect graphic feel way curious disagree learn read split group thing easy omnivorous waste create news group bit shuffle problem post week group spend time,1,"['group', 'aspect', 'post', 'week', 'favor', 'lot', 'newsgroup', 'waste', 'convenience', 'thing', 'kind', 'reading', 'create', 'news', 'problem', 'result', 'code', 'shuffle', 'hardware', 'wate']","['group', 'week', 'post', 'split', 'learn', 'graphic', 'aspect']"
113,get useful gregg understand post give support bounty rushdie life that s correct end point gregg concept legal way westerner do not accept comment islamic law think great deal sense make little sense person member group religion bind follow way group bound group require minimum big bone contention pick west secular government maintain level control requirement outside requirement optional group think majority read thread tune note do not agreement idea finally responsible secular government group group person choose mind possible secular law legally people define term hold person particular group decide separate secular authority agree requirement sort contractual etc secular enforcement allow group group member past group member religion believe require additional duty group member enforce fulfillment duty way ostracism common example limit come enforcement impose unwanted andor unaccepted onus person conflict secular law difference theocracy requirement secular authority definition congruent religious authority outside theocracy necessarily true religious requirement coincide similiarly religious consequence coincide secular consequence regard dew,0,"['group', 'requirement', 'person', 'way', 'law', 'authority', 'government', 'gregg', 'member', 'enforcement', 'theocracy', 'duty', 'consequence', 'bounty', 'life', 'rushdie', 'end', 'religion', 'point', 'concept']","['secular', 'requirement', 'religious', 'group', 'authority', 'person', 'member', 'consequence', 'law', 'duty', 'sense', 'gregg', 'coincide', 'theocracy', 'way', 'enforcement', 'outside', 'government', 'think', 'require']"
114,hello anybody help conversion pic format file hpgl file question follow possible convert file generate pic preprocessor format hpgl format suitable sending plotter hardware involve ibm risc run aix software involve available cost problem regard dani cimad consultants antwerp belgium danicimadbe,1,"['file', 'format', 'hpgl', 'consultants', 'cimad', 'dani', 'pic', 'regard', 'problem', 'antwerp', 'aix', 'cost', 'software', 'run', 'risc', 'ibm', 'hardware', 'plotter', 'belgium', 'convert']","['file', 'format', 'involve', 'pic', 'hpgl']"
115,working project go include move grapic database course jpeg mpeg come mind format choice file read net different form want settle file format count standard format year know apple go support quicktime new power pcs format choice format apple quicktime use product guess kind mpeg motion picture different standard mpeg file thanx info,1,"['format', 'mpeg', 'file', 'choice', 'apple', 'course', 'jpeg', 'database', 'mind', 'motion', 'power', 'count', 'know', 'product', 'project', 'form', 'settle', 'year', 'pcs', 'kind']","['file', 'mpeg', 'format', 'quicktime', 'apple', 'standard', 'different', 'choice']"
116,bad question do nt ref list algorithm thinking bit should not hard point find plane define circle lie algorithm find center circle line pass center perpendicular plane point pass center sphere repeat unused point original point give different line pass sphere origin interection center sphere radius easy compute distance center original point ill leave math workable algorithm alternate method pair point plane form perpendicular bisector line segment pair contain center sphere pair form plane intersect point easy implement,1,"['point', 'center', 'algorithm', 'plane', 'sphere', 'line', 'pair', 'circle', 'form', 'pass', 'thinking', 'list', 'bit', 'math', 'leave', 'workable', 'method', 'alternate', 'ref', 'define']","['point', 'center', 'plane', 'pair', 'sphere', 'pass', 'line', 'algorithm', 'circle', 'find', 'easy', 'form', 'original', 'perpendicular']"
117,you re say mind you ll explain away difference statistically insignificant you ll explain away inconsistancie theory special case equate reread word study release find female seagull lesbian apply sentence theory notice contridicting observation do not know math ability use sa determine length triangle fundemental geometry goal postulate goal objectivenatural morality system propose survival specie homosexuality immoral,0,"['theory', 'goal', 'system', 'case', 'postulate', 'word', 'survival', 'triangle', 'math', 'study', 'length', 'observation', 'morality', 'sa', 'seagull', 'ability', 'sentence', 'lesbian', 'contridicting', 'release']","['goal', 'll', 'explain', 'away', 'theory']"
118,snip snip box base arm risc processor custom graphic chip dsp doublespee cdrom ramvram little fuzzy breakdown graphics chip ramvram capacity demonstrate recent gather electronic cafe santa monica mical amigalynx fame hal josephson talk machine plan get unit display fullscreen movie compactvideo codec nice little blockiness show clip jaw backdraft high frame rate boot like fps note do screen resolution compactvideo pretty amazing wanted point quicktime slow dynamically resize material state sure material compress large size play fine bit price generality personally do not use dynamic sizing movie play stuff original size plenty quick late machine sure centrismhz stack mhz arm box obviously arm fast,1,"['compactvideo', 'machine', 'chip', 'movie', 'ramvram', 'size', 'arm', 'material', 'box', 'frame', 'rate', 'amigalynx', 'boot', 'mical', 'fps', 'monica', 'fame', 'backdraft', 'note', 'hal']","['arm', 'snip', 'material', 'ramvram', 'chip', 'play', 'box', 'size', 'sure', 'machine', 'movie', 'compactvideo', 'little']"
119,moment try grab portion starbase screen store area memory datum need bit format should not problem app run bit screen fussy exact format actually intend write datum tiff bit problem know grab portion screen blockread grab screen bit colour screenwindow type byte pixel thank advance martin,1,"['bit', 'screen', 'datum', 'format', 'portion', 'byte', 'type', 'screenwindow', 'pixel', 'store', 'problem', 'grab', 'area', 'advance', 'colour', 'memory', 'write', 'starbase', 'app', 'tiff']","['bit', 'screen', 'grab', 'portion', 'problem', 'format', 'datum']"
120,look information animation station currently market price station type workstation do not matter mac sgi etc use boughtlooke suggest dream machine mail configuration need follow type station mac etc expandibilty machine software run vtr controller andor vtr deck modelname vendor name number thank advance,1,"['station', 'vtr', 'machine', 'type', 'mac', 'modelname', 'deck', 'vendor', 'market', 'andor', 'price', 'controller', 'boughtlooke', 'use', 'dream', 'sgi', 'workstation', 'configuration', 'expandibilty', 'follow']","['station', 'vtr', 'machine', 'etc', 'mac', 'type']"
121,deletion deletion present argument incredulity see present manner usually present form offer convincing explanation unreasonable ask explanation phenomena theism provide convincing explanation argument theism favor especially different theism offer different explanation different adherent purportedly theism different explanation experience experience common reason lack evidence theism favor mileage vary heck ill snide fairly easy attack argument strawman sage advice sincerely raymond ingle inglesenginumichedu,0,"['argument', 'theism', 'explanation', 'raymond', 'ingle', 'attack', 'experience', 'snide', 'manner', 'mileage', 'evidence', 'strawman', 'ask', 'incredulity', 'form', 'reason', 'lack', 'sage', 'phenomena', 'adherent']","['different', 'present', 'theism', 'deletion', 'explanation', 'experience', 'argument', 'convincing', 'favor', 'offer']"
122,thank fill existence assume rashly particular number reserve enhancement motorola line mete company guess that s assume computer industry operate logical manner spot version quicktime state current version software old version horizon distant future quicktime well job play movie size play resize movie apparently process expand frame image dither resultant bitmap appropriate bit depth pretty processorintensive optimizer work pretty show movie double size drop size increase size performance suffer dramatically do not know quicktime lie quicktime cpu dependent probably confused fact lock internal timecode play time machine drop frame order sound video sync centris quadra similar cpus boast similar performance quadra bit fast marginally fast clock speed somewhat different architecture having expect version quicktime software see new codec allow video nearly twice size frame rate version handle centris see plainvanilla exception nice speaker play sound software movie player player apple include software,1,"['version', 'size', 'software', 'movie', 'frame', 'bit', 'centris', 'video', 'play', 'performance', 'drop', 'reserve', 'enhancement', 'motorola', 'line', 'company', 'number', 's', 'computer', 'industry']","['software', 'play', 'movie', 'size', 'version', 'quicktime', 'frame', 'fast', 'player', 'similar', 'assume', 'pretty', 'quadra', 'video', 'sound', 'centris', 'performance', 'drop', 'bit']"
123,glplzh stuff gfxshow aminet site include utility call pichl filter hamlab handle commonly kind pic clp file big problem clp file do not usually contain palette need convert pic right palette create rampicpal file convert clp file,1,"['file', 'clp', 'pic', 'palette', 'aminet', 'site', 'utility', 'gfxshow', 'pichl', 'filter', 'hamlab', 'stuff', 'kind', 'problem', 'right', 'glplzh', 'convert']","['file', 'clp', 'convert', 'palette', 'pic']"
124,premise conclusion properly translate identity statement statement predication identity instead translate predicate letter designate god designate jesus predicate letter property eternal premise conclusion second premise appear contain identity case properly symbolize remark jesus subset god suggest strict identity desire premise mean member make set god property eternal conclusion follow,0,"['identity', 'premise', 'god', 'letter', 'jesus', 'conclusion', 'statement', 'property', 'desire', 'remark', 'case', 'member', 'predication']","['conclusion', 'premise', 'god', 'identity', 'statement', 'designate', 'translate', 'eternal', 'property', 'predicate', 'letter', 'jesus', 'properly']"
125,need information display postscript strokeadjust feature feature adjust endpoint line display line look well low resolution device postscript literature explain process extent example emulate strokeadjust postscript environment absent suggest emulation modify coordinate endpoint line follow formula coordinate newcoord round oldcoord end coordinate end reading thought actually newcoord trunc oldcoord result coordinate end whichever close actual comparison display postscript find dps use like dps result look well stuff look like know know dps willingable tell thank,1,"['coordinate', 'postscript', 'display', 'end', 'line', 'dps', 'result', 'newcoord', 'endpoint', 'feature', 'process', 'extent', 'use', 'literature', 'example', 'environment', 'device', 'emulation', 'comparison', 'trunc']","['dps', 'end', 'look', 'coordinate', 'line', 'postscript', 'feature', 'display', 'know', 'like', 'newcoord', 'oldcoord', 'result', 'strokeadjust', 'endpoint']"
126,excess stuff delete know similar incident year ago climatologist ithink profession name iben brown predict earthquake hit new madrid fault dec school missouri fault line actually cancel school day people evacuate new madrid town teh would not suprised journalist area resident course teh earthquake occur know live southern illinois lican middle school build directly fault line school laugh poor idiot believe prediction bob you re want excuse convert christianity going to look,0,"['school', 'earthquake', 'fault', 'madrid', 'year', 'bob', 'line', 'climatologist', 'prediction', 'course', 'profession', 'believe', 'incident', 'excuse', 'iben', 'new', 'idiot', 'resident', 'illinois', 'brown']","['school', 'fault', 'teh', 'line', 'new', 'madrid', 'know', 'earthquake']"
127,discuss liberty reprint permission sue eric haines reprint interesting discussion topic jona snip snip man fish hell eat day man fishing rod hell laze fishing mind reprint permission sue relevant information post year ago problem note early use postscript technology predate year paper list april siggraph program announcement post day ago eric intersection line polygon undecidable dave baraff tom duff debcharismagraphicscornelledu newsgroups compgraphic keyword jordan curve separation ursyhon metrization theorem organization program computer graphic think difficult problem start line polygon semialgebraic set contain uncountable number point offthecuff idea need check line polygon separate jordan curve separation theorem say polygon divide plane exactly open noncompact region line lie completely inside polygon line lie completely outside polygon possibly rarely happen line intersect polyon phrase question say line intersect polygon decision problem possibility decision model approach reduce question know problem try solve answer give answer original decision problem recent year geometric problem successfully model new language call postscript postscript language adobe system incorporate isbn give line polygon write postscript program draw line polygon output answer output mean program execute command call showpage actually print page paper contain line polygon quick examination paper provide answer reduce problem original problem small problem approach infinite number way encode reduce problem force invoke axiom choice equivalently zorn lemma use axiom choice regard light day importantly question arise postscript program actually output piece paper word halt postscript expressive encode ture machine halting problem postscript undecidable possible original problem turn undecidable will not begin difficulty aliase finite precision run ink paper couple reference principia mathematica newton cambridge university press cambridge england sorry do not isbn introduction automata theory language computation hopcroft ulman programming language kernighan ritchie tale city dicken tdaliceuucp tom duff summary overkill organization att bell laboratories murray hill situation nearly bleak baraff suggest know well he s hung lab long know dobbindullman reduction dullman dobbin comp obfusc lemma linepolygon intersection reduce hamiltonian circuit use grobner basis lpi coin acronym probably npcomplete turingcompleteness long problem cray deliver able complete infinite loop millisecond scattergather debsvaxcscornelledu david baraff sure bad npcomplete that s restrict case line satisfie lipschitz condition second derivative think there s siggraph paper caltech deal,1,"['line', 'problem', 'polygon', 'paper', 'postscript', 'program', 'language', 'baraff', 'day', 'question', 'cambridge', 'lemma', 'answer', 'year', 'organization', 'duff', 'siggraph', 'tom', 'intersection', 'output']","['paper', 'reprint', 'decision', 'answer', 'output', 'snip', 'man', 'fishing', 'hell', 'cambridge', 'lie', 'choice', 'permission', 'intersect', 'axiom', 'sue', 'completely', 'post', 'ago', 'npcomplete']"
128,sampe ncga university akron nasa lewis research center sponsor computer composite oneday seminar devote practical application computer workstation efficient processing design manufacture composite university akron akron ohio speaker advancement graphic visualization jay horowitz nasa integrated product development michael cowen network workstation sikorski aircraft structural analysis brian fite nasa stereolithography jason williams penn stateerie molecular physical modeling vassilio galiatsato polymer cure university akron process model polymer matrix composite ram upadhyay corporate registration fee advance site include box lunch contact gary roberts nasa lewis research center write sampe regional seminar gary roberts nasa lewis research center brookpark cleveland ohio email ill gary,1,"['nasa', 'akron', 'university', 'polymer', 'workstation', 'gary', 'ohio', 'center', 'seminar', 'computer', 'research', 'lewis', 'registration', 'fee', 'advance', 'upadhyay', 'ram', 'roberts', 'site', 'penn']","['nasa', 'gary', 'center', 'research', 'lewis', 'akron', 'computer', 'polymer', 'roberts', 'composite', 'university', 'ohio', 'seminar', 'sampe', 'workstation']"
129,group recently buy mitsubishi video printer use help buy thing parallel datum input addition usual video signal input claim print gray level image manual come describe format parallel datum print bitpixel image initial problem parallel interface thing run parallel port hewlettpackard workstation print bitpixel image fine call mitsubishi people ask level claim say available video signal input mention sale literature bitpixel level image parallel mode do nt information program japan etc frankly find hard believe thing bitpixel image video source can not store bitspixel memory like memory expensive anybody information get bitpixel bitpixel image thing greatly appreciate send thank,1,"['image', 'bitpixel', 'thing', 'video', 'level', 'input', 'print', 'datum', 'information', 'mitsubishi', 'signal', 'parallel', 'memory', 'believe', 'use', 'printer', 'workstation', 'hewlettpackard', 'problem', 'help']","['image', 'bitpixel', 'thing', 'video', 'memory', 'parallel', 'buy', 'print', 'input', 'level', 'information', 'datum', 'mitsubishi', 'signal', 'claim']"
130,probably representative paragraph think hop strike selfcontradicte fable lucifer fall way recall speculation base biblical text rcism show benedikt point lucifer perfect nature free choose evil choice come know genesis eve offer opportunity sin tempter assume satan lucifer discover invent create action god give origin bible mention lucifer free big fuss mankind have free strike afterthefact rationalisation fact like salvation christian believe identically mind salvation free tightly couple theology roman catholic theologian explain lucifer fall lucifer perfect nature man fall execute act contradict nature effect cause evil exist time,0,"['lucifer', 'nature', 'fall', 'strike', 'salvation', 'selfcontradicte', 'christian', 'know', 'genesis', 'benedikt', 'point', 'choice', 'sin', 'tempter', 'fable', 'eve', 'opportunity', 'rationalisation', 'act', 'rcism']","['lucifer', 'nature', 'fall', 'free', 'salvation', 'evil', 'perfect', 'strike']"
